Invoice ID,Branch,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross income,Rating
750-67-8428,A,Member,Female,Health and beauty,74.69,7,26.1415,548.9715,1/5/2019,13:08,Ewallet,474.20681,48.62319,9.1
226-31-3081,C,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,3/8/2019,10:29,Cash,72.0452,4.3548,9.6
631-41-3108,A,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.5255,3/3/2019,13:23,Credit card,309.06743,15.24257,7.4
123-19-1176,A,Member,Male,Health and beauty,58.22,8,23.288,489.048,1/27/2019,20:33,Ewallet,422.44432,43.31568,8.4
373-73-7910,A,Normal,Male,Sports and travel,86.31,7,30.2085,634.3785,2/8/2019,10:37,Ewallet,596.91996,7.25004,5.3
699-14-3026,C,Normal,Male,Electronic accessories,85.39,7,29.8865,627.6165,3/25/2019,18:30,Ewallet,563.65939,34.07061,4.1
355-53-5943,A,Member,Female,Electronic accessories,68.84,6,20.652,433.692,2/25/2019,14:36,Ewallet,389.49672,23.54328,5.8
315-22-5665,C,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,2/24/2019,11:38,Ewallet,701.0268,34.5732,8
665-32-9167,A,Member,Female,Health and beauty,36.26,2,3.626,76.146,1/10/2019,17:15,Credit card,65.77564,6.74436,7.2
692-92-5582,B,Member,Female,Food and beverages,54.84,3,8.226,172.746,2/20/2019,13:27,Credit card,162.0522,2.4678,5.9
351-62-0822,B,Member,Female,Fashion accessories,14.48,4,2.896,60.816,2/6/2019,18:07,Ewallet,54.50272,3.41728,4.5
529-56-3974,B,Member,Male,Electronic accessories,25.51,4,5.102,107.142,3/9/2019,17:03,Cash,96.22372,5.81628,6.8
365-64-0515,A,Normal,Female,Electronic accessories,46.95,5,11.7375,246.4875,2/12/2019,10:25,Ewallet,221.36925,13.38075,7.1
252-56-2699,A,Normal,Male,Food and beverages,43.19,10,21.595,453.495,2/7/2019,16:48,Ewallet,425.4215,6.4785,8.2
829-34-3910,A,Normal,Female,Health and beauty,71.38,10,35.69,749.49,3/29/2019,19:21,Cash,647.4166,66.3834,5.7
299-46-1805,B,Member,Female,Sports and travel,93.72,6,28.116,590.436,1/15/2019,16:19,Cash,555.57216,6.74784,4.5
656-95-9349,A,Member,Female,Health and beauty,68.93,7,24.1255,506.6355,3/11/2019,11:03,Credit card,437.63657,44.87343,4.6
765-26-6951,A,Normal,Male,Sports and travel,72.61,6,21.783,457.443,1/1/2019,10:39,Credit card,430.43208,5.22792,6.9
329-62-1586,A,Normal,Male,Food and beverages,54.67,3,8.2005,172.2105,1/21/2019,18:00,Credit card,161.54985,2.46015,8.6
319-50-3348,B,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,3/11/2019,15:30,Ewallet,76.8118,3.7882,4.4
300-71-4605,C,Member,Male,Electronic accessories,86.04,5,21.51,451.71,2/25/2019,11:24,Ewallet,405.6786,24.5214,4.8
371-85-5789,B,Normal,Male,Health and beauty,87.98,3,13.197,277.137,3/5/2019,10:40,Ewallet,239.39358,24.54642,5.1
273-16-6619,B,Normal,Male,Home and lifestyle,33.2,2,3.32,69.72,3/15/2019,12:20,Credit card,63.2792,3.1208,4.4
636-48-8204,A,Normal,Male,Electronic accessories,34.56,5,8.64,181.44,2/17/2019,11:15,Ewallet,162.9504,9.8496,9.9
549-59-1358,A,Member,Male,Sports and travel,88.63,3,13.2945,279.1845,3/2/2019,17:36,Ewallet,262.69932,3.19068,6
227-03-5010,A,Member,Female,Home and lifestyle,52.59,8,21.036,441.756,3/22/2019,19:20,Credit card,400.94616,19.77384,8.5
649-29-6775,B,Normal,Male,Fashion accessories,33.52,1,1.676,35.196,2/8/2019,15:31,Cash,31.54232,1.97768,6.7
189-17-4241,A,Normal,Female,Fashion accessories,87.67,2,8.767,184.107,3/10/2019,12:17,Credit card,164.99494,10.34506,7.7
145-94-9061,B,Normal,Female,Food and beverages,88.36,5,22.09,463.89,1/25/2019,19:48,Cash,435.173,6.627,9.6
848-62-7243,A,Normal,Male,Health and beauty,24.89,9,11.2005,235.2105,3/15/2019,15:36,Cash,203.17707,20.83293,7.4
871-79-8483,B,Normal,Male,Fashion accessories,94.13,5,23.5325,494.1825,2/25/2019,19:39,Credit card,442.88165,27.76835,4.8
149-71-6266,B,Member,Male,Sports and travel,78.07,9,35.1315,737.7615,1/28/2019,12:43,Cash,694.19844,8.43156,4.5
640-49-2076,B,Normal,Male,Sports and travel,83.78,8,33.512,703.752,1/10/2019,14:49,Cash,662.19712,8.04288,5.1
595-11-5460,A,Normal,Male,Health and beauty,96.58,2,9.658,202.818,3/15/2019,10:12,Credit card,175.19612,17.96388,5.1
183-56-6882,C,Member,Female,Food and beverages,99.42,4,19.884,417.564,2/6/2019,10:42,Ewallet,391.7148,5.9652,7.5
232-16-2483,C,Member,Female,Sports and travel,68.12,1,3.406,71.526,1/7/2019,12:28,Ewallet,67.30256,0.81744,6.8
129-29-8530,A,Member,Male,Sports and travel,62.62,5,15.655,328.755,3/10/2019,19:15,Ewallet,309.3428,3.7572,7
272-65-1806,A,Normal,Female,Electronic accessories,60.88,9,27.396,575.316,1/15/2019,17:17,Ewallet,516.68856,31.23144,4.7
333-73-7901,C,Normal,Female,Health and beauty,54.92,8,21.968,461.328,3/23/2019,13:24,Ewallet,398.49952,40.86048,7.6
777-82-7220,B,Member,Male,Home and lifestyle,30.12,8,12.048,253.008,3/3/2019,13:01,Cash,229.63488,11.32512,7.7
280-35-5823,B,Member,Female,Home and lifestyle,86.72,1,4.336,91.056,1/17/2019,18:45,Ewallet,82.64416,4.07584,7.9
554-53-8700,C,Member,Male,Home and lifestyle,56.11,2,5.611,117.831,2/2/2019,10:11,Cash,106.94566,5.27434,6.3
354-25-5821,B,Member,Female,Sports and travel,69.12,6,20.736,435.456,2/8/2019,13:03,Cash,409.74336,4.97664,5.6
228-96-1411,C,Member,Female,Food and beverages,98.7,8,39.48,829.08,3/4/2019,20:39,Cash,777.756,11.844,7.6
617-15-4209,C,Member,Male,Health and beauty,15.37,2,1.537,32.277,3/16/2019,19:47,Cash,27.88118,2.85882,7.2
132-32-9879,B,Member,Female,Electronic accessories,93.96,4,18.792,394.632,3/9/2019,18:00,Cash,354.41712,21.42288,9.5
370-41-7321,B,Member,Male,Health and beauty,56.69,9,25.5105,535.7205,2/27/2019,17:24,Credit card,462.76047,47.44953,8.4
727-46-3608,B,Member,Female,Food and beverages,20.01,9,9.0045,189.0945,2/6/2019,15:47,Ewallet,177.38865,2.70135,4.1
669-54-1719,B,Member,Male,Electronic accessories,18.93,6,5.679,119.259,2/10/2019,12:45,Credit card,107.10594,6.47406,8.1
574-22-5561,C,Member,Female,Fashion accessories,82.63,10,41.315,867.615,3/19/2019,17:08,Ewallet,777.5483,48.7517,7.9
326-78-5178,C,Member,Male,Food and beverages,91.4,7,31.99,671.79,2/3/2019,10:19,Cash,630.203,9.597,9.5
162-48-8011,A,Member,Female,Food and beverages,44.59,5,11.1475,234.0975,2/10/2019,15:10,Cash,219.60575,3.34425,8.5
616-24-2851,B,Member,Female,Fashion accessories,17.87,4,3.574,75.054,3/22/2019,14:42,Ewallet,67.26268,4.21732,6.5
778-71-5554,C,Member,Male,Fashion accessories,15.43,1,0.7715,16.2015,1/25/2019,15:46,Credit card,14.51963,0.91037,6.1
242-55-6721,B,Normal,Male,Home and lifestyle,16.16,2,1.616,33.936,3/7/2019,11:49,Ewallet,30.80096,1.51904,6.5
399-46-5918,C,Normal,Female,Electronic accessories,85.98,8,34.392,722.232,2/28/2019,19:01,Cash,648.63312,39.20688,8.2
106-35-6779,A,Member,Male,Home and lifestyle,44.34,2,4.434,93.114,3/27/2019,11:26,Cash,84.51204,4.16796,5.8
635-40-6220,A,Normal,Male,Health and beauty,89.6,8,35.84,752.64,2/7/2019,11:28,Ewallet,650.1376,66.6624,6.6
817-48-8732,A,Member,Female,Home and lifestyle,72.35,10,36.175,759.675,1/20/2019,15:55,Cash,689.4955,34.0045,5.4
120-06-4233,C,Normal,Male,Electronic accessories,30.61,6,9.183,192.843,3/12/2019,20:36,Cash,173.19138,10.46862,9.3
285-68-5083,C,Member,Female,Sports and travel,24.74,3,3.711,77.931,2/15/2019,17:47,Credit card,73.32936,0.89064,10
803-83-5989,C,Normal,Male,Home and lifestyle,55.73,6,16.719,351.099,2/24/2019,10:55,Ewallet,318.66414,15.71586,7
347-34-2234,B,Member,Female,Sports and travel,55.07,9,24.7815,520.4115,2/3/2019,13:40,Ewallet,489.68244,5.94756,10
199-75-8169,A,Member,Male,Sports and travel,15.81,10,7.905,166.005,3/6/2019,12:27,Credit card,156.2028,1.8972,8.6
853-23-2453,B,Member,Male,Health and beauty,75.74,4,15.148,318.108,2/14/2019,14:35,Cash,274.78472,28.17528,7.6
877-22-3308,A,Member,Male,Health and beauty,15.87,10,7.935,166.635,3/13/2019,16:40,Cash,143.9409,14.7591,5.8
838-78-4295,C,Normal,Female,Health and beauty,33.47,2,3.347,70.287,2/10/2019,15:43,Ewallet,60.71458,6.22542,6.7
109-28-2512,B,Member,Female,Fashion accessories,97.61,6,29.283,614.943,1/7/2019,15:01,Ewallet,551.10606,34.55394,9.9
232-11-3025,A,Normal,Male,Sports and travel,78.77,10,39.385,827.085,1/24/2019,10:04,Cash,778.2476,9.4524,6.4
382-03-4532,A,Member,Female,Health and beauty,18.33,1,0.9165,19.2465,2/2/2019,18:50,Cash,16.62531,1.70469,4.3
393-65-2792,C,Normal,Male,Food and beverages,89.48,10,44.74,939.54,1/6/2019,12:46,Credit card,881.378,13.422,9.6
796-12-2025,C,Normal,Male,Fashion accessories,62.12,10,31.06,652.26,2/11/2019,16:19,Cash,584.5492,36.6508,5.9
510-95-6347,B,Member,Female,Food and beverages,48.52,3,7.278,152.838,3/5/2019,18:17,Ewallet,143.3766,2.1834,4
841-35-6630,C,Normal,Female,Electronic accessories,75.91,6,22.773,478.233,3/9/2019,18:21,Cash,429.49878,25.96122,8.7
287-21-9091,A,Normal,Male,Home and lifestyle,74.67,9,33.6015,705.6315,1/22/2019,10:55,Ewallet,640.44459,31.58541,9.4
732-94-0499,C,Normal,Female,Electronic accessories,41.65,10,20.825,437.325,1/13/2019,17:04,Credit card,392.7595,23.7405,5.4
263-10-3913,C,Member,Male,Fashion accessories,49.04,9,22.068,463.428,1/9/2019,14:20,Credit card,415.31976,26.04024,8.6
381-20-0914,A,Member,Female,Fashion accessories,20.01,9,9.0045,189.0945,1/12/2019,15:48,Credit card,169.46469,10.62531,5.7
829-49-1914,C,Member,Female,Food and beverages,78.31,10,39.155,822.255,3/5/2019,16:24,Ewallet,771.3535,11.7465,6.6
756-01-7507,C,Normal,Female,Health and beauty,20.38,5,5.095,106.995,1/22/2019,18:56,Cash,92.4233,9.4767,6
870-72-4431,C,Normal,Female,Health and beauty,99.19,6,29.757,624.897,1/21/2019,14:42,Credit card,539.79198,55.34802,5.5
847-38-7188,B,Normal,Female,Food and beverages,96.68,3,14.502,304.542,1/26/2019,19:56,Ewallet,285.6894,4.3506,6.4
480-63-2856,C,Normal,Male,Food and beverages,19.25,8,7.7,161.7,1/23/2019,18:37,Ewallet,151.69,2.31,6.6
787-56-0757,C,Member,Female,Food and beverages,80.36,4,16.072,337.512,2/23/2019,18:45,Credit card,316.6184,4.8216,8.3
360-39-5055,C,Member,Male,Sports and travel,48.91,5,12.2275,256.7775,3/9/2019,10:17,Cash,241.6154,2.9346,6.6
